gaiaSource_ra,gaiaSource_decl,variCepheid_solutionId,variCepheid_sourceId,variCepheid_pf,variCepheid_pfError,variCepheid_p1O,variCepheid_p1Oerror,variCepheid_epochG,variCepheid_epochGerror,variCepheid_epochBP,variCepheid_epochBPerror,variCepheid_epochRP,variCepheid_epochRPerror,variCepheid_epochRV,variCepheid_epochRVerror,variCepheid_intAverageG,variCepheid_intAverageGerror,variCepheid_intAverageBP,variCepheid_intAverageBPerror,variCepheid_intAverageRP,variCepheid_intAverageRPerror,variCepheid_averageRV,variCepheid_averageRVerror,variCepheid_peakToPeakG,variCepheid_peakToPeakGerror,variCepheid_peakToPeakBP,variCepheid_peakToPeakBPerror,variCepheid_peakToPeakRP,variCepheid_peakToPeakRPerror,variCepheid_peakToPeakRV,variCepheid_peakToPeakRVerror,variCepheid_metallicity,variCepheid_metallicityError,variCepheid_r21G,variCepheid_r21Gerror,variCepheid_r31G,variCepheid_r31Gerror,variCepheid_phi21G,variCepheid_phi21Gerror,variCepheid_phi31G,variCepheid_phi31Gerror,variCepheid_numCleanEpochsG,variCepheid_numCleanEpochsBP,variCepheid_numCleanEpochsRP,variCepheid_numCleanEpochsRV,variCepheid_zpMagG,variCepheid_zpMagBP,variCepheid_zpMagRP,variCepheid_numHarmonicsForP1G,variCepheid_numHarmonicsForP1BP,variCepheid_numHarmonicsForP1RP,variCepheid_numHarmonicsForP1RV,variCepheid_referenceTimeG,variCepheid_referenceTimeBP,variCepheid_referenceTimeRP,variCepheid_referenceTimeRV,variCepheid_fundFreq1,variCepheid_fundFreq1Error,variCepheid_fundFreq2,variCepheid_fundFreq2Error,variCepheid_p2O,variCepheid_p2Oerror,variCepheid_typeBestClassification,variCepheid_type2BestSubClassification,variCepheid_modeBestClassification,variCepheid_multiModeBestClassification,epochPhotometry_epochPhotFile
75.41802995468399,-67.4747995266367,375316653866487564,4661497404203935872,,,0.5050494076176361,4.73353E-6,1665.3419288451473,6.69422E-6,1665.3407397744663,7.55166E-6,1665.3367843852836,9.52865E-6,,,17.4916,0.00535352,17.6731,0.0104907,17.1239,0.00733095,,,0.378363,0.0191634,0.4994,0.043624,0.332148,0.013505,,,,,0.195042,0.0417163,,,3.7037,0.216271,,,44,42,40,,17.499,17.6857,17.1289,2,2,2,,1666.648996712062,1666.6493180876791,1666.6494071379725,,1.9800043023851683,1.85574E-5,,,,,DCEP,,FIRST_OVERTONE,,3/9/3/5/8/7/2/4661497404203935872_epochPhotFile.csv.zip
82.31908299215752,-67.47263445966121,375316653866487564,4660171530619866880,13.422765090695423,6.58405E-4,,,1658.1718530823757,9.31125E-4,1658.1420778276135,0.00196098,1658.2254926939033,0.00172883,,,13.8694,0.00223211,14.249,0.00478305,13.3234,0.00353614,,,0.802981,0.00642598,1.01127,0.012568,0.608019,0.00735364,,,,,0.193203,0.00942185,0.131236,0.00993691,4.28574,0.0456989,0.324257,0.0594229,38,41,41,,13.8957,14.2908,13.3377,5,5,5,,1695.4200262090555,1695.4203407402958,1695.4204289338256,,0.07450029805656018,3.65434E-6,,,,,DCEP,,FUNDAMENTAL,,9/8/6/6/8/8/0/4660171530619866880_epochPhotFile.csv.zip
75.8424216083167,-67.47258910941721,375316653866487564,4661499568868815744,2.7766160092354863,2.26471E-5,,,1660.6657758541294,3.20278E-5,1660.657223332163,4.1242E-4,1660.7355929470339,2.77172E-4,,,16.0235,0.00175238,16.3158,0.0108249,15.5451,0.00829914,,,0.743398,0.00459118,0.953436,0.0496458,0.573463,0.0262164,,,-0.33311,0.221183,0.494523,0.00802682,0.256414,0.00897879,4.2501,0.0226702,2.33963,0.0381301,44,44,44,,16.0462,16.3508,15.5571,6,4,3,,1666.899278794863,1666.8995860861087,1666.899675229079,,0.3601506282013191,2.93752E-6,,,,,DCEP,,FUNDAMENTAL,,8/8/1/5/7/4/4/4661499568868815744_epochPhotFile.csv.zip
89.49554314594118,-67.46874446656675,375316653866487564,4659553020937638912,,,1.9603943981482757,1.7593E-5,1690.0312611587533,2.48803E-5,1690.0087938392128,3.68535E-4,1690.0963448395564,8.69114E-5,,,15.7112,0.00102736,15.9587,0.00923553,15.3047,0.00248374,,,0.286059,0.00362408,0.392754,0.044068,0.22178,0.00728177,,,,,0.0934116,0.00913512,,,4.6551,0.116125,,,41,44,44,,15.715,15.966,15.3066,2,2,1,,1695.1714152706982,1695.1717296949396,1695.1718183809448,,0.5101014372131277,4.57777E-6,,,,,DCEP,,FIRST_OVERTONE,,7/6/3/8/9/1/2/4659553020937638912_epochPhotFile.csv.zip
84.20122250396312,-67.46850400409745,375316653866487564,4659386444936776064,2.7402651932512367,2.89623E-5,,,1687.9120974020116,4.09589E-5,1687.9672740735734,2.09103E-4,1687.9316378565163,7.62062E-5,,,16.0573,0.00529782,16.3615,0.014543,15.5633,0.00465487,,,0.87931,0.0260473,1.12366,0.0499553,0.652949,0.0311739,,,-0.414092,0.231244,0.519241,0.0195794,0.293846,0.022366,4.22075,0.046387,2.25977,0.05115,43,43,43,,16.0888,16.4148,15.5795,6,4,5,,1695.42042403152,1695.4207389027845,1695.4208252386748,,0.364928183762219,3.85699E-6,,,,,DCEP,,FUNDAMENTAL,,6/7/7/6/0/6/4/4659386444936776064_epochPhotFile.csv.zip
75.33446493927747,-67.46704639207985,375316653866487564,4661497541642854528,4.4261560257104575,6.22268E-5,,,1654.7691804501246,8.80019E-5,1654.759912852017,5.29599E-4,1654.992560186039,6.51492E-4,,,15.6228,0.00350609,15.8673,0.0111212,14.9836,0.00761494,,,0.620171,0.0108485,0.755962,0.0407831,0.436311,0.0245743,,,0.0337022,0.231256,0.390537,0.0151416,0.198415,0.0243545,4.63398,0.060561,2.95159,0.0918132,43,42,42,,15.6392,15.893,14.9912,3,3,2,,1666.6489832231314,1666.6492975772396,1666.6493865917541,,0.22592967671976422,3.17632E-6,,,,,DCEP,,FUNDAMENTAL,,2/8/5/4/5/2/8/4661497541642854528_epochPhotFile.csv.zip
75.41641975168307,-67.46604793677854,375316653866487564,4661497404203934848,,,2.012872240705264,3.02142E-5,1661.1156168472926,4.27294E-5,1661.126169958599,5.79744E-5,1661.1351469250108,3.1341E-4,,,15.9459,0.00161384,16.2489,0.00814821,15.4727,0.00502645,,,0.282727,0.00402719,0.346635,0.0222382,0.209512,0.00984659,,,,,0.112238,0.0137461,,,4.84983,0.133229,,,42,44,44,,15.9493,16.2545,15.4741,2,2,1,,1666.6490026369913,1666.6493169936052,1666.6494060008,,0.4968025191949704,7.45726E-6,,,,,DCEP,,FIRST_OVERTONE,,3/9/3/4/8/4/8/4661497404203934848_epochPhotFile.csv.zip
85.5683166631279,-67.46490115407097,375316653866487564,4659467121616864512,,,3.1564532963044867,2.6599E-4,1764.639887234143,3.76166E-4,1764.7037194239267,8.04612E-4,1764.6835835097204,0.00243536,,,16.0688,0.00101332,16.4275,0.00272191,15.5287,0.00311825,,,0.0525273,0.00348825,0.0712867,0.00798417,0.0323716,0.0128883,,,,,0.114767,0.0329221,,,4.52924,0.353861,,,31,38,36,,16.0679,16.4266,15.5276,2,1,1,,1771.5177989667905,1771.5181138544633,1771.5182000486782,,0.31681127712891566,2.66972E-5,,,,,DCEP,,FIRST_OVERTONE,,6/8/6/4/5/1/2/4659467121616864512_epochPhotFile.csv.zip
85.80605356218112,-67.4635262608753,375316653866487564,4659421148283426560,10.407199664493138,9.96153E-4,,,1747.9350154515719,0.00140877,1747.980073905184,0.00132814,1748.0451516557382,0.00140011,,,14.3243,0.012161,14.6812,0.00488435,13.7539,0.00370463,,,0.582143,0.0301678,0.864031,0.0184365,0.530557,0.0132262,,,,,,,,,,,,,32,37,37,,14.3427,14.7121,13.7646,1,5,4,,1771.5177298913134,1771.5180447697933,1771.5181310209618,,0.09608732725785588,9.19726E-6,,,,,DCEP,,FUNDAMENTAL,,3/4/2/6/5/6/0/4659421148283426560_epochPhotFile.csv.zip
86.88264186919952,-67.46271668909088,375316653866487564,4659432109009024000,,,0.3260926665917222,6.9392E-6,1694.3503722757212,9.81351E-6,1694.3774962232364,2.28653E-5,1694.376949204641,1.35313E-5,,,18.399,0.00787191,18.4798,0.0152209,17.8331,0.0137813,,,0.209782,0.0117938,0.198375,0.0360949,0.135094,0.0390068,,,,,,,,,,,,,39,37,36,,18.4004,18.4811,17.8331,1,1,1,,1695.2448444601823,1695.245158712799,1695.2452480333027,,3.0666129675710554,6.5257E-5,,,,,DCEP,,FIRST_OVERTONE,,9/0/2/4/0/0/0/4659432109009024000_epochPhotFile.csv.zip
