#solutionId=375316653866487564
#sourceId=4658182028708785152
#nTransits=36
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
16537713633157860,1695.9204086594348,12752.932878006945,12752.932878006945,442.8024,15.423341682334799,9,1695.9207230508075,7551.91005129933,49.50722541963076,152.54158,15.643400194397426,1695.920811878763,7823.768245643002,46.03173881109209,169.96465,15.014355557726065,0,0,0,0
16541805938792214,1695.994436895793,12506.92056014189,12506.92056014189,458.66794,15.44449088865912,9,1695.9947303699018,7323.573095271728,61.99976937821676,118.12259,15.676734664466133,1695.9948183350623,7737.712468730615,48.276242557955385,160.27992,15.026364032601034,0,0,0,0
18857179192811661,1737.8665836028104,8339.655662915204,8339.655662915204,352.55264,15.884496568633617,9,1737.8668979299382,4331.555490906471,35.618993316888655,121.608025,16.24693250966743,1737.8669869336818,5746.50147264658,39.98525657400934,143.71552,15.349386695317854,0,0,0,0
20745710386815811,1772.019454470193,10986.218796320203,10986.218796320203,411.3135,15.58524625711988,9,1772.0197693541736,6488.49599990851,47.62486227332056,136.24178,15.808182112716565,1772.0198555661345,8034.658280910813,54.381414922203575,147.7464,14.985476974470531,0,0,0,0
20749802681851986,1772.0934609575381,12140.061736742995,12140.061736742995,522.6056,15.476814628819794,9,1772.0937752857367,7197.1811441301015,42.964294708492496,167.5154,15.695636132100073,1772.0938643283396,7474.15125118953,43.93627864522436,170.11343,15.063990795570904,0,0,0,0
24148376230208565,1833.5545018505675,7654.2206580786915,7654.2206580786915,487.2719,15.977614421967047,9,1833.5548167757618,4163.392954786637,36.566408134628574,113.858406,16.289923708372967,1833.55490287474,5192.2580189885075,39.01671782272788,133.07777,15.45950483682087,0,0,0,0
25553879319601527,1858.9722333599088,7356.478603760913,7356.478603760913,614.423,16.020691926634626,9,1858.9725477252264,3927.223345623362,34.64100942017292,113.369194,16.35332821382235,1858.9726366443663,5299.762080899449,38.13010162031626,138.99155,15.437254567375199,0,0,0,0
25557971618414706,1859.0462122905674,7304.953087769259,7304.953087769259,452.48523,16.02832328892886,8,1859.046555007323,3857.9043090874097,40.005121635189305,96.43526,16.37266358764099,1859.0466428707555,5260.675788956547,41.98945649370851,125.28564,15.445291657613005,0,0,0,0
27501398526281031,1894.1921440487044,8901.224056738103,8901.224056738103,278.58154,15.813742534563103,8,1894.1924868322108,4879.9433296271545,56.98368278427239,85.63756,16.117505269280997,1894.1925743229078,6231.3570499448015,47.31590283551868,131.69688,15.26143890973809,0,0,0,0
30927861277397238,,,,,,9,1956.1587451756304,4762.2400871771815,42.76852277019904,111.34918,16.144013999618444,1956.1588308091582,6126.397900453167,50.29844048823747,121.80095,15.279882500732706,0,1,0,0
