#solutionId=375316653866487564
#sourceId=4652047823304601984
#nTransits=46
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
16565377407660102,1696.4208169919254,10258.009661254917,10258.009661254917,397.31094,15.659709107656738,9,1696.421131709449,5169.201016652238,43.722781237751285,118.22672,16.0549836631276,1696.4212189156585,7361.494749889668,44.921015308290585,163.8764,15.080480484428287,0,0,0,0
16569469693109302,1696.4948236269997,10156.048193807343,10156.048193807343,607.8849,15.670554984361798,9,1696.4951385506104,4958.965485960762,45.51049171457642,108.96313,16.100064501688422,1696.4952246084351,7342.1039287608355,47.90616620963629,153.2601,15.08334418184072,0,0,0,0
18880792258155460,1738.2936300385497,8809.45487360531,8809.45487360531,668.09625,15.824994278973781,9,1738.2939450773133,4358.57542512692,35.36359630771647,123.25034,16.240180801170826,1738.2940303628127,6355.407034347354,41.704406014944574,152.39174,15.24003707533392,0,0,0,0
20763655012258571,1772.343895383785,9901.068997974251,9901.068997974251,575.54834,15.69816164953699,9,1772.3442104230471,4932.2417655453255,36.929143428110585,133.5596,16.105931324744873,1772.3442958024905,7112.2471684853745,43.42921372237598,163.76643,15.117878398528475,0,0,0,0
20773395827028668,1772.5200722729285,9719.514440014518,9719.514440014518,679.9663,15.71825544375472,8,1772.5203654417478,4758.617217431975,41.72356249959125,114.05108,16.14484028677127,1772.5204547806852,6967.397197251239,44.870110399770425,155.27925,15.140219077424288,0,0,0,0
22242307996967306,1799.084311726877,9913.065677213244,9913.065677213244,679.8371,15.696846908238237,9,1799.0846260766189,4971.712460306791,36.766045285579686,135.22565,16.0972772077646,1799.0847150146012,7690.9722396035,44.44778599209218,173.03386,15.032942391701274,0,0,0,0
24162165348799746,1833.803706571026,11218.561387668551,11218.561387668551,484.4501,15.562523945221995,9,1833.8040216494414,5764.957854086891,42.131144695086064,136.83363,15.936551874190037,1833.8041068108023,7831.3550999463,46.127749786730455,169.77536,15.01330320919321,0,0,0,0
24171906164748951,1833.97986344164,10980.774618422216,10980.774618422216,503.3126,15.585784422817698,9,1833.9801777015052,5503.358397600249,43.41898027672364,126.75006,15.98697272459648,1833.9802670490096,7613.177281118829,45.465223401750876,167.45056,15.043980643827794,0,0,0,0
25540067316338748,1858.7223164546315,9727.455821639638,9727.455821639638,684.4637,15.717368699350892,8,1858.7226173655258,5086.9905088665855,38.840637828809506,130.97083,16.072389897446755,1858.7227030333863,6754.24546772035,42.56762306756365,158.67096,15.173953401071227,0,0,0,0
27491597080503060,1894.014836663509,8681.045599769912,8681.045599769912,490.00983,15.840936773336118,9,1894.0151515721923,4285.610490902868,40.576052659438915,105.61921,16.258510474568766,1894.0152377875193,6186.522109570324,42.45862154700934,145.70709,15.269279077757488,0,0,0,0
30904272636388833,,,,,,9,1955.7322408202888,4326.356884288077,44.36489968777588,97.51756,16.24823636118581,1955.7323267435847,6315.400266253804,44.183463712860146,142.93584,15.246893298440723,0,1,0,0
30914013459411015,,,,,,9,1955.9083998328638,4261.1514661674455,40.913194752692036,104.15103,16.264724786215353,1955.9084893077327,6277.861010200551,43.73756780515344,143.53476,15.253366260324675,0,1,0,0
32562593489915985,1985.722113372159,10374.245742630592,10374.245742630592,394.6599,15.647475538949747,9,1985.7224283777305,5157.688777866855,38.58310544555696,133.67738,16.057404384152733,1985.7225140146147,7476.820185546984,45.58095239644692,164.03387,15.063603160733521,0,1,0,0
34479003481282228,2020.3796308502551,12081.956685308249,12081.956685308249,522.0334,15.482023681008094,9,2020.3799459331422,6257.687041027527,45.34299145430957,138.00781,15.847507617171447,2020.380030931937,8107.184405030446,55.27405563960961,146.67252,14.975720372306915,0,0,0,0
34483095764260348,2020.4536590820667,11886.686213985326,11886.686213985326,924.1054,15.49971487129251,9,2020.4539525336952,6179.938018989632,47.42237099058597,130.31694,15.861081917292951,2020.45404061588,8090.7574586158125,44.485261322998454,181.87502,14.977922545486757,0,0,0,0
36234009259561533,2052.1180407445463,10940.4403404044,10940.4403404044,472.20688,15.589779861522933,9,2052.118355198823,5575.958524689009,37.09714173673269,150.30696,15.972743379007682,2052.1184435248206,7716.062448347535,43.30067633301191,178.19727,15.029406166509174,0,0,0,0
36238101546321468,2052.192019389669,10869.678870922857,10869.678870922857,383.59473,15.596825082885456,8,2052.192362243323,5389.122236535311,39.96024170930519,134.8621,16.009747129765856,2052.1924496169718,7646.232533907451,45.4489506838222,168.23782,15.039276747506477,0,0,0,0
38126886807291657,2086.349570361715,13147.52758088669,13147.52758088669,516.434,15.390256640681773,8,2086.349913125946,7326.621141794126,57.028245121839646,128.47356,15.676282878714034,2086.3500004623843,8510.880566084767,54.121919399745565,157.25386,14.92295926098801,0,0,0,0
39757501089608784,2115.838161907013,9099.064313179178,9099.064313179178,649.93665,15.78987503035071,9,2115.8384761539,4483.047008036414,34.437110590113626,130.1807,16.20960898383273,2115.8385653800424,6662.774251762075,40.69400671247497,163.72864,15.188757754294866,0,0,0,0
39761593390256640,2115.912168338099,9102.158996752942,9102.158996752942,454.14996,15.789505823295396,9,2115.9124828694416,4530.794196248612,35.7563065445251,126.71315,16.1981063769813,2115.91257122638,6545.462183631414,41.52826530981389,157.61462,15.208044705979757,0,0,0,0
41654107326423992,2150.1369604621104,10783.96211947668,10783.96211947668,536.65106,15.605420982906093,9,2150.137275418566,5451.110618412229,38.01434016461148,143.39616,15.997329727854153,2150.13736156622,7606.511576619891,44.534832618576736,170.79915,15.044931674724037,0,0,0,0
43105143439922895,2176.3779675845385,11631.335560432157,11631.335560432157,473.10257,15.523292904132983,9,2176.3782827430514,6058.655641036057,41.960295184435935,144.39021,15.8826015433562,2176.37836765137,8044.672901651495,46.669367680986404,172.37587,14.984124525466578,0,0,0,0
45034688367982266,2211.272617675124,13198.976621203583,13198.976621203583,361.60898,15.386016218017058,9,2211.2729319519526,7045.767243023262,45.40977949379247,155.15968,15.718721485396095,2211.2730210590794,8601.91273929616,48.34514163914045,177.92714,14.911407919627818,1,0,0,0
46402854591804691,2236.0152032513633,9152.444338357722,9152.444338357722,454.3929,15.783524126181113,9,2236.0155180007837,4414.68527854393,36.040558610949276,122.49214,16.226292845030237,2236.0156047652213,6683.223285036027,42.12871744333096,158.63818,15.185430573529034,0,0,0,0
46406946872267773,2236.089210234534,9081.24236179907,9081.24236179907,445.3298,15.792003701158851,9,2236.089525344914,4473.133733661339,36.52208655339977,122.47749,16.2120125095325,2236.08961057497,6658.504612361833,42.920785271106645,155.13474,15.189453738859731,0,0,0,0
48364163901441395,2271.4846427727334,9286.979373914026,9286.979373914026,503.43765,15.76768066456842,8,2271.4849855165626,4576.552858349828,50.50251207379118,90.6203,16.1871960089249,2271.4850729929394,6836.50351403625,47.70983133229398,143.2934,15.1608103977347,0,0,0,0
51804551213356080,2333.7029587251495,9437.503213302909,9437.503213302909,399.1033,15.750224085788435,9,2333.703273717429,4599.909921536762,47.7648056739333,96.30333,16.181668897986206,2333.7033589995835,6801.885078022254,55.76932408327567,121.96463,15.166322276180232,0,0,0,0
51808643495678585,2333.776966338935,9323.480544942815,9323.480544942815,881.4696,15.763421694731893,9,2333.7772808786253,4605.6791257312825,34.90339380298255,131.95505,16.180308021532888,2333.7773692309215,6634.875633979122,40.83937709260851,162.4627,15.19331353431507,0,0,0,0
53490492438499737,2364.1926160061826,10208.65129787204,10208.65129787204,619.6306,15.664945942930844,9,2364.1929304538603,5118.050378887348,36.22207386293884,141.29645,16.065780824558697,2364.193018827938,7262.3816331980315,42.7137153088046,170.02458,15.095197833516796,0,0,0,0
