#solutionId=375316653866487564
#sourceId=4657217344700484608
#nTransits=35
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
18839322722595863,1737.5434516460643,18440.74421455054,18440.74421455054,897.95636,15.02292075723679,9,1737.5437659431536,8339.629535848426,45.23429841960852,184.36517,15.53567531885246,1737.5438551827092,17681.93492259273,64.03391022796508,276.1339,14.129071031556872,0,0,0,0
20759469600032292,1772.2680538243085,18357.84733090089,18357.84733090089,624.2811,15.027812482507233,8,1772.2683966175423,8745.779526798251,63.78816329759959,137.10663,15.484045903359334,1772.2684840331679,13958.169850100536,63.940472243452945,218.29945,14.3858243043099,0,0,0,0
24134479082078818,1833.3031248940733,24735.082911720565,24735.082911720565,836.4241,14.7040834409234,8,1833.303467639181,12296.174656631703,56.437194476063524,217.8736,15.114117157505628,1833.3035553770396,17931.87230071271,65.7710589125836,272.64078,14.113831407559234,0,0,0,0
25544065634854042,1858.7948250605018,24488.523862497095,24488.523862497095,703.8893,14.714960349087953,9,1858.7951394648355,11987.184782579956,57.38988106892495,208.87279,15.141749215712698,1858.7952281994949,17817.591403865816,65.57798107433075,271.70084,14.12077301266418,0,0,0,0
27473745197417833,1893.6922171078863,20947.786427780047,20947.786427780047,566.47394,14.884521523500467,8,1893.692559894103,9658.874372744373,67.91029034787258,142.2299,15.376225922064547,1893.692647373867,16004.477614152376,67.49541396496294,237.11948,14.237291742785175,0,0,0,0
28980055455450609,1920.9332584886292,17387.664740103857,17387.664740103857,660.71686,15.086763722656817,8,1920.9336012891845,7989.411570140337,47.86457370735823,166.917,15.582255230357166,1920.9336886889137,13326.36550831303,57.70912139062603,230.92303,14.436116199433204,0,0,0,0
28984147742204854,1921.0072941019814,17587.187474565802,17587.187474565802,830.0311,15.074375884378211,9,1921.0076090259747,8177.486037592932,56.82913741668104,143.89601,15.556992687611539,1921.0076951352896,13415.25308297786,61.94878486810863,216.55394,14.428898325685811,0,0,0,0
30918196704621630,,,,,,9,1955.9841601078708,14153.064519081327,78.2158614676411,180.94878,14.961415999604611,1955.9842469799025,18981.892944977528,73.83129689885328,257.0982,14.052046701874069,0,1,0,0
34520516116104295,2021.1301807476307,21990.763441970274,21990.763441970274,70.72658,14.831766100056562,8,2021.1305235231018,10726.789037167708,62.067264241225544,172.82523,15.262367867111493,2021.1306110857274,15645.746439502402,67.37003137162694,232.236,14.261904782061785,1,1,0,0
36220265680622559,2051.869256192321,18736.82889563636,18736.82889563636,726.37885,15.005626639958635,9,2051.869570671544,8530.865678782104,46.175088254040304,184.7504,15.511059456037469,2051.8696588756243,14445.019803602292,58.28613075242185,247.82945,14.348600147197816,0,0,0,0
