#solutionId=375316653866487564
#sourceId=4661519390092375808
#nTransits=36
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
16537631726395605,1695.919082802075,10897.613797390452,10897.613797390452,377.13898,15.59403833506558,9,1695.9193971662448,5318.553353131879,41.650668909286324,127.694305,16.024058415223916,1695.9194861276226,8034.444566407841,45.75715010057887,175.58884,14.98550585443671,0,0,0,0
16541724035175606,1695.9931112806025,10832.062787464709,10832.062787464709,433.96613,15.600588945273621,9,1695.9934047168986,5218.303455778513,52.2570790353746,99.85831,16.044718889112065,1695.9934928703997,8013.884789414437,47.88885255198702,167.34343,14.988287764747858,0,0,0,0
18880691926480717,1738.292013104216,10606.482837879927,10606.482837879927,495.34094,15.623438383111221,9,,,,,,,,,,,0,0,1,1
18884784203797537,1738.3660194097909,10529.065901418178,10529.065901418178,648.16986,15.631392257195863,9,1738.3663344638649,5125.952023157602,38.789930405414715,132.14645,16.064105873182065,1738.3664196783775,8032.4559984195375,47.36611892915534,169.5823,14.985774613213529,0,0,0,0
20736048752141833,1771.8449164488788,9232.584697454653,9232.584697454653,1028.3654,15.774058615926227,9,,,,,,,,,,,0,0,1,1
24172005442990763,1833.981812171822,9646.362264294747,9646.362264294747,499.0241,15.726457948046878,9,1833.982126915189,4492.736935277591,42.36530042563975,106.04756,16.207264740927418,1833.9822139403034,9709.872741928477,55.399466580863844,175.27014,14.77986165600368,0,0,0,0
25567791058397084,1859.2236343477718,10941.860568222284,10941.860568222284,241.4835,15.589638926365383,6,,,,,,,,,,,1,0,1,1
27529038085248734,1894.6918496664766,13220.574476424259,13220.574476424259,498.8443,15.384241049431086,9,1894.6921431361056,6689.099954956,53.70905742186367,124.543236,15.775123001681488,1894.6922311406493,9289.81991137642,52.11260248657863,178.26436,14.827877263601524,0,0,0,0
28938679459148860,1920.1845905494793,12480.568035845088,12480.568035845088,613.6761,15.44678098677872,9,1920.1849048427052,6408.682180583572,43.57553509761885,147.07065,15.821620379340501,1920.1849940745071,8709.307551353637,46.89274079243799,185.72827,14.897936433549571,0,0,0,0
28942771757175418,1920.2585981774778,12790.9494874812,12790.9494874812,582.90674,15.420109907370197,9,1920.2589126779296,7843.135635979673,53.24401333959471,147.3055,15.602317901832027,1920.2590010005545,8886.08637327181,48.948561953367964,181.53928,14.876119175422716,0,0,0,0
