#solutionId=375316653866487564
#sourceId=4657169726442325248
#nTransits=37
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
18839325454267738,1737.5434947988026,6055.399126445113,6055.399126445113,455.5761,16.23200993242067,9,1737.5438091138178,2989.8453740317264,29.234096604751432,102.272545,16.649420394602785,1737.5438982791925,4143.309957365252,33.61445949164624,123.25975,15.704526941902328,0,0,0,0
20759467559629372,1772.2680376959256,7307.548670582727,7307.548670582727,302.15472,16.02793757561169,9,1772.2683524340514,3816.648725030238,41.11154613591874,92.83642,16.384336739818636,1772.2684394983073,4964.142232455957,45.50768386585397,109.0836,15.508284960160715,0,0,0,0
24134476432195724,1833.3030737475478,5972.349376239519,5972.349376239519,497.4193,16.247003853124237,8,1833.3034164616338,3091.010895381886,32.67677140383853,94.59352,16.613290876063893,1833.3035043507266,4297.469955041781,34.845972302611,123.3276,15.664863378452186,0,0,0,0
25539971355537885,1858.7207818664415,6531.5085850922505,6531.5085850922505,327.34476,16.149833111987057,9,1858.7210961242404,3439.2493071130634,33.192500228618506,103.61525,16.497383069656827,1858.7211854903544,4351.782100682442,34.63978526872084,125.62959,15.651227647274212,0,0,0,0
25544063657365711,1858.7947892517177,6780.747920826883,6780.747920826883,423.7952,16.10917286838588,9,1858.7951037241783,3578.25171793287,35.185099992674736,101.69793,16.45436499465449,1858.795192169306,4566.844590668905,36.661122247512246,124.569145,15.598854919018741,0,0,0,0
27473744709965719,1893.6922616982245,6089.278388819279,6089.278388819279,279.5942,16.225952293241214,9,1893.6925551813251,2941.228762815985,44.79273552747762,65.66308,16.66722020488262,1893.6926431296904,4207.486314225637,41.95903061105909,100.27606,15.687838721124974,0,0,0,0
28980052780270652,1920.9332166415536,6127.845622022563,6127.845622022563,443.5288,16.219097327953524,8,1920.9335594154297,3123.4387952385077,33.794154847948604,92.425415,16.601959715224897,1920.9336469610012,4196.483047636685,34.312181364375974,122.30301,15.690681818527723,0,0,0,0
28984145068335615,1921.007252277744,6274.403219723636,6274.403219723636,327.4456,16.193435804902464,9,1921.0075671721092,3262.3855018039912,41.43633941113856,78.732475,16.554704019764788,1921.0076534564912,4315.71293308671,39.082411645025594,110.425964,15.66026412829767,0,0,0,0
30918198880284823,,,,,,9,1955.9842068032979,4682.776629255218,50.47277226650301,92.778275,16.162283610257216,1955.984294012282,4212.87565887104,37.72947412480306,111.660065,15.686448897880052,0,1,0,0
32586240152310603,1986.149740787487,7963.761211505438,7963.761211505438,45.892723,15.934571293313146,9,1986.1500558112593,4096.402067409892,34.278266152034846,119.50436,16.307535774169146,1986.150141150854,5228.03563138949,38.369767854572636,136.25403,15.452049154082728,1,1,0,0
34520518684329647,2021.1302299353333,6951.841109207658,6951.841109207658,516.71686,16.082117273680943,8,2021.130572746138,3680.809419868018,50.45757730078977,72.94859,16.423683886553484,2021.130660113477,4623.330556488591,45.05034374677475,102.62587,15.585508137380554,0,0,0,0
36220267917365352,2051.8692955895744,5986.257633969776,5986.257633969776,419.31415,16.2444783573439,9,2051.869610015701,2962.7125406500427,28.534223415693575,103.83015,16.659318426336018,2051.8696984742587,4225.783640667013,33.27772137141479,126.98537,15.683127357431722,0,0,0,0
36224360205960414,2051.943274153467,6058.847785144768,6058.847785144768,105.83941,16.231391762139587,8,2051.943616984868,3127.178171275949,33.58202132886753,93.120605,16.60066065100351,2051.943704478064,4204.720796140261,35.507185081183884,118.41887,15.68855259399543,1,0,0,0
38144732330506146,2086.6720646332424,6663.4091126216135,6663.4091126216135,373.4243,16.12812567100832,9,2086.672379520824,125705.4477470233,171.21093503338022,734.21387,12.590156967580885,2086.672466065421,178199.1934832875,203.14804532062283,877.18884,11.620631165855226,0,0,1,1
39729847023576586,2115.337851051425,7631.556316738752,7631.556316738752,318.85355,15.980834083489375,9,2115.338165943232,4023.7614158275533,34.02142744539546,118.271385,16.326961661212927,2115.338251829785,5876.381753881047,40.466016804453695,145.2177,15.32512049718714,0,0,0,0
41640186723349073,2149.885136527453,6257.266623488862,6257.266623488862,166.16054,16.196405215170778,9,2149.8854513256583,3229.1251274405877,30.679192281137837,105.25457,16.565830030550842,2149.88553837727,4365.9811485426035,35.03398643463537,124.62131,15.647690860709467,1,0,0,0
43077397840458933,2175.876243326288,7202.634835618844,7202.634835618844,569.584,16.043638374156544,9,2175.8765576499313,3785.5902140703492,38.28552174449958,98.87785,16.39320821510364,2175.876646884012,4839.837838283287,36.24729135070614,133.52275,15.535818474687492,0,0,0,0
44997279534995145,2210.5962837071183,7360.71885865659,7360.71885865659,318.6956,16.020066291435157,8,2210.596590277866,3969.70550892975,39.17589280560829,101.330315,16.341646490823294,2210.5966782978567,4820.290299373697,36.18521865471811,133.21158,15.540212515713318,0,0,0,0
46416598589649508,2236.2639970129885,7116.299718591375,7116.299718591375,286.5499,16.056731289398122,9,2236.2643117200214,3629.01561590019,32.351961753497385,112.172966,16.439070123289518,2236.26439873466,19104.938516710226,68.10006377033991,280.54214,14.045031390191507,0,0,0,1
46420690868277533,2236.33800408742,6945.963192004102,6945.963192004102,258.8476,16.08303567312861,9,2236.3383191479943,8097.392617281612,46.933881796577914,172.52765,15.567679222372636,2236.338404696057,4747.185527828549,37.34197998117106,127.12731,15.556804988670576,1,0,1,0
48350416104481150,2271.2362963767105,7717.780594525168,7717.780594525168,544.23694,15.968635796957368,9,2271.2366106989757,4157.922809657556,36.39367273371504,114.248505,16.29135115942411,2271.236699642837,5175.442448226866,41.70447584579906,124.09801,15.463026792349323,0,0,0,0
51822560918021662,2334.028720233456,7066.103471748262,7066.103471748262,341.30493,16.06441688532738,9,2334.029035235213,3594.822933044944,32.197338716749215,111.64969,16.449348456813375,2334.029121133311,4786.535555179552,36.580679005439556,130.84874,15.547842277973196,0,0,0,0
51832301744058780,2334.204893212592,6716.109815439728,6716.109815439728,236.41185,16.119572395319686,8,2334.2051933587863,3474.0046943469647,34.805741229330536,99.81126,16.48646621338704,2334.2052827607204,4515.334937750905,38.241125389350294,118.07537,15.611170573987165,0,0,0,0
53508503396086911,2364.5182666799456,7472.597737857267,7472.597737857267,407.92883,16.003687856795523,9,2364.5185810012354,4047.0876736178366,41.060284561035076,98.56453,16.3206856838425,2364.518670249546,4922.134506928586,37.27252185749109,132.058,15.51751180747219,0,0,0,0
55442793916572892,2399.4989431569275,6216.2751525682925,6216.2751525682925,497.87686,16.203541293291995,9,2399.499258134268,3180.8104125051727,30.916770254380413,102.88301,16.582197754799374,2399.499344162891,4241.99436388786,34.75299393110668,122.061264,15.678970283262231,0,0,0,0
55452534745231686,2399.67510075592,6762.794514999859,6762.794514999859,334.96518,16.112051387682467,9,2399.6754149590424,3469.663118679072,35.850476936003126,96.7815,16.487823941501215,2399.6755043785606,4546.223737509304,39.3383968265286,115.567085,15.603768488028365,0,0,0,0
57138463296065768,2430.1641726063085,6184.120815246559,6184.120815246559,641.9685,16.209171953233025,8,2430.1644664430364,3126.9175994232073,30.366299312003868,102.97328,16.600751123648955,2430.16455204031,4345.527168427836,35.146379506984175,123.64082,15.65278932741409,0,1,0,0
59058785997046106,2464.8919596419923,7653.435474659221,7653.435474659221,479.8327,15.977725804409825,8,2464.8923023228153,4029.5043518054435,39.355371832754905,102.38766,16.325413142947248,2464.89239013735,5006.107044295604,44.08480266346751,113.5563,15.49914517170871,0,0,0,0
60606530060690490,2492.8819470732624,5901.657169702274,5901.657169702274,308.1271,16.25993192328796,9,2492.88226194315,2989.475418247281,29.64879464920328,100.829575,16.649554749123574,2492.8823480163765,4162.04295559789,34.96710686451696,119.027374,15.699629105745494,0,0,0,0
62516812290633979,2527.428215580629,7230.088093491837,7230.088093491837,483.72836,16.039507894813614,9,2527.4285303474817,3844.468989305919,33.031614291034614,116.38756,16.376451310551474,2527.428617521436,4884.787897083108,36.61417064314258,133.41249,15.525781223866298,0,0,0,0
63936119675713016,2553.0955753741137,6015.154005485849,6015.154005485849,593.8607,16.239249989496653,9,2553.0958896523757,2955.4010605916533,29.024740895827417,101.82351,16.66200115369931,2553.095978780003,4147.477592657074,33.50271794396556,123.79526,15.703435380243464,0,0,0,0
63940211967579394,2553.169603341058,5949.21521822889,5949.21521822889,270.9856,16.251217666545767,9,2553.1698968218234,3052.4965356683015,38.89057402379657,78.489365,16.62690426647545,2553.169984949142,4150.152743676685,34.27270537670523,121.092064,15.702735298823086,0,0,0,0
65855996336412492,2587.8155682883194,7244.881258741443,7244.881258741443,399.5634,16.037288687256705,9,2587.8158833384,3728.4156120550374,36.56025978395,101.98001,16.409731421210644,2587.815968273173,4876.216603835214,44.75382459940252,108.95642,15.527688028804645,0,0,0,0
65860088626336651,2587.88957544508,7103.850246832329,7103.850246832329,229.4874,16.05863237281921,9,2587.889889993933,3723.997834258116,34.03124563752424,109.42879,16.41101866644874,2587.889978266264,4828.769224135863,35.87602367867254,134.596,15.538304375766877,1,0,0,0
67296394477965898,2613.8645325503217,6485.100557776682,6485.100557776682,467.16592,16.157575080481458,9,2613.8648475226305,3392.3837829920244,31.53448264087276,107.57696,16.51227976971363,2613.864932969978,4470.05761953661,35.531044593789304,125.8071,15.622112697974954,0,0,0,0
69230264674706028,2648.837818355385,5989.372283553498,5989.372283553498,562.7439,16.243913595754286,9,2648.838132696983,3163.9484002624995,32.061434813042915,98.68393,16.587968735484296,2648.838221581151,4281.572123338459,38.260274450862084,111.90646,15.668887340814795,0,0,0,0
70795924799418943,2677.1521982747886,7441.706629253653,7441.706629253653,359.53476,16.008185504443396,9,2677.1525125579583,3953.9034623090606,40.41571780996522,97.83083,16.3459770621408,2677.152601937553,4950.058955732495,38.05033172147534,130.09239,15.511369572509189,0,0,0,0
