#solutionId=375316653866487564
#sourceId=4660860512066455424
#nTransits=38
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
18811463051657795,1737.0397938024782,11021.541412812443,11021.541412812443,375.50912,15.581761024989085,8,1737.0401365534822,5810.9574123374905,39.543826215521584,146.9498,15.927922984374236,1737.0402242639925,7551.518646990297,43.667214915921164,172.93336,15.052809753311783,0,0,0,0
18815555340253024,1737.1138290235222,11124.21147245539,11124.21147245539,656.19995,15.571693776417177,9,1737.1141438615218,5806.527729140455,40.280484067047375,144.15239,15.928750954902647,1737.1142303942115,7375.661894081526,45.05210845415036,163.71402,15.078393000868598,0,0,0,0
20680598790509299,1770.842203735377,20997.836415174563,20997.836415174563,690.9538,14.881930497049156,9,1770.842518774969,13010.0814855535,57.49621397493055,226.27719,15.052842174121494,1770.842604164737,11791.399090913808,54.320327908805325,217.07158,14.568982154359631,0,0,0,0
20690339607770114,1771.018361238746,23370.62275744454,23370.62275744454,429.31076,14.765691154055522,9,1771.01867552177,14449.61557426193,60.72313953671937,237.95897,14.938901483221322,1771.01876478862,12694.557227610176,57.78459364884555,219.68758,14.488851606771306,1,0,0,0
22265647113057776,1799.5069270518327,17686.119847890976,17686.119847890976,718.1924,15.068285457970408,9,1799.5072418568989,10463.846352158544,52.88803302748902,197.84903,15.289313830840182,1799.5073285397677,10247.722599887024,51.15220103047972,200.33786,14.72132709918643,0,0,0,0
22269739392865284,1799.5809335969582,19806.432061830485,19806.432061830485,1289.009,14.9453512455259,9,1799.581248660628,12288.55368100402,58.53359862821706,209.94017,15.114790288345715,1799.5813338867467,11350.41101512043,55.315855105105186,205.19272,14.610366530510895,0,0,0,0
24116755632381991,1832.9830147182658,22176.759352171604,22176.759352171604,442.3192,14.82262165750635,5,,,,,,,,,,,0,0,1,1
27519490229572194,1894.5195346688367,22774.71934901415,22774.71934901415,405.26923,14.79373428229815,9,1894.5198496985263,14134.491344696022,69.27513414801238,204.03412,14.962841755216889,1894.519935151658,12819.925265283857,58.044467211363205,220.86386,14.478181767559855,1,0,0,0
27529231046177237,1894.695691713605,21799.09480932798,21799.09480932798,472.12424,14.841270716470197,9,1894.6960059649914,13525.466492561789,62.01065164682158,218.11522,15.010661583725856,1894.6960953546857,12229.659596933576,57.28577070570754,213.48512,14.529359578766456,1,0,0,0
30997047326692406,1957.409331536284,11172.33397660486,11172.33397660486,29.702236,15.567007092888858,9,1957.4096460605926,8411.44378874228,54.382515227720226,154.67184,15.526365848280296,1957.4097342686825,9645.36666586537,54.13139186605136,178.18434,14.787098646467905,1,1,0,0
34534142325822586,2021.3761477367275,13997.761893754408,13997.761893754408,625.3226,15.32222036266261,9,2021.3764627837904,7960.859707174282,48.660052308989656,163.60155,15.586142289568572,2021.3765480344011,8740.661788364783,54.74127314934033,159.67224,14.89403471128652,0,0,0,0
34538234614436524,2021.4501691579542,15565.718903360961,15565.718903360961,1555.7847,15.206943908580445,8,2021.450469588148,9682.324885605023,48.451241801608155,199.83647,15.37359308808467,2021.4505579253314,9410.67613767672,47.52753403643819,198.00471,14.813843431876364,0,0,0,0
38089261687694804,2085.6689577566813,12652.010068101883,12652.010068101883,1827.389,15.431968044948713,9,2085.6692722176563,6699.579356146041,39.81770173180597,168.2563,15.773423376597444,2085.6693608951136,8360.98285109998,44.740438665279626,186.87753,14.942252169482963,0,0,0,0
39715803606029602,2115.084198062102,11242.113870587584,11242.113870587584,656.73883,15.56024691726127,9,2115.0845130754087,6006.395656356401,41.01536140641157,146.44258,15.892007373615604,2115.0845982095384,7519.746747009008,44.89615358618057,167.492,15.057387464911095,0,0,0,0
41571103640695378,2148.636330078103,11919.202130429292,11919.202130429292,387.22784,15.496748905128355,9,2148.6366448763883,6384.155594902089,40.35016092737934,158.21884,15.825783558010968,2148.636731927441,7765.072935916247,44.149897817549686,175.87975,15.022531652822815,1,0,0,0
