#solutionId=375316653866487564
#sourceId=4651865854137984768
#nTransits=45
#transitID,gTransitTime,gTransitFlux,gTransitFluxError,gTransitFluxOverError,gTransitMag,gTransitNObs,bpObsTime,bpFlux,bpFluxError,bpFluxOverError,bpMag,rpObsTime,rpFlux,rpFluxError,rpFluxOverError,rpMag,photometryFlagNoisyData,variabilityFlagGReject,variabilityFlagBpReject,variabilityFlagRpReject
16551589626798818,1696.1713166546563,4865.158757498104,4865.158757498104,371.26376,16.469624325749976,8,1696.1716521377004,2730.5059666134084,32.30174900850398,84.53121,16.747934391100276,1696.1717409659334,3049.7263295189036,30.872839859975755,98.78347,16.03724332812568,0,0,0,0
16555681931908888,1696.2453657835488,4664.629170150424,4664.629170150424,284.8043,16.51532405754532,9,1696.2456592569738,2670.932745724966,49.77281730217098,53.66248,16.77188483431408,1696.2457472211763,3012.0297009404385,33.30775061394605,90.4303,16.0507473760822,0,0,0,0
18857235724165286,1737.8675004062625,3665.1366028314415,3665.1366028314415,197.39374,16.77714145252518,9,1737.8678147343312,1934.986271561511,27.42566187815804,70.553856,17.121847495518946,1737.8679037315303,2552.4034238629515,29.270937727531546,87.199234,16.230522204841883,0,0,0,0
20763604262639522,1772.3429398738956,3715.3503435445186,3715.3503435445186,201.66861,16.76236743615176,8,1772.3432223056334,1956.1852977261697,29.224797671076768,66.93581,17.110017239504295,1772.3433102572333,2455.5222910319603,27.681049994966457,88.7077,16.272535798715744,0,0,0,0
22228440194545265,1798.8335126570403,3519.5697477445046,3519.5697477445046,247.48485,16.82114292682695,9,1798.8338269612736,1873.8546390514716,30.64975987832007,61.13766,17.15670247021093,1798.8339160887122,2541.4272438101707,28.973901776156623,87.71436,16.235201298159005,0,0,0,0
24148319999537247,1833.5533924037818,3595.78854905454,3595.78854905454,307.57202,16.797881504424055,9,1833.553707126231,1925.568264471797,28.320683110224294,67.99159,17.12714491663494,1833.5537943558115,2439.4835768872613,28.757644627342884,84.82905,16.279650754412124,0,0,0,0
25544108437845724,1858.7954981838914,5682.107517698488,5682.107517698488,102.69287,16.301093248929114,9,1858.795813025121,3265.861945769344,36.504999108960995,89.46342,16.55354765997172,1858.7958996072648,3313.4937380372216,33.69901177454964,98.32614,15.947180115699267,1,0,0,0
27477802784560402,1893.765509142988,4065.285992968321,4065.285992968321,468.38696,16.664639107975148,9,1893.7658242249333,2161.0173441614024,31.48509697402411,68.6362,17.001896584517894,1893.7659093793955,2721.891628154174,30.32989800441796,89.74285,16.160718426605353,0,0,0,0
27487543598806064,1893.9416678836549,3779.38125471292,3779.38125471292,172.4965,16.74381510533248,9,1893.9419821725012,2095.3923478752276,34.54002077447607,60.665638,17.03537883183331,1893.9420714305686,2484.279603594907,32.788013781223604,75.76792,16.259894316812876,0,0,0,0
28970323866064229,1920.757195892407,3652.056175155279,3652.056175155279,372.34088,16.781023244206935,9,1920.7575109858121,1986.5354624772233,34.548683578700874,57.4996,17.0933014102139,1920.7575960583467,2506.998002313037,31.72632778754089,79.019485,16.25001053142141,0,0,0,0
